CENSUS BLOCK,Pop
0303001005,32
0303001006,0
0303001007,98
0303001008,18
0303001009,8
0303001010,53
0303001011,26
0303001012,144
0303001013,90
0303001014,140
0303001015,81
0303001016,74
0303001017,102
0303001018,191
0303001019,21
0303001020,54
0303001021,53
0303001022,173
0303001023,38
0303002000,31
0303002001,44
0303002002,41
0303002003,255
0303002004,166
0303002005,66
0303002006,0
0303002007,131
0303002008,29
0303002009,75
0303002010,121
0303002011,208
0303002012,0
0303002013,90
0303002014,102
0303002015,251
0304001000,0
0304001001,49
0304001002,315
0304001003,33
0304001004,32
0304001005,133
0304001006,152
0304001007,108
0304001008,39
0304001009,36
0304001010,44
0304001011,26
0304001012,53
0304001013,15
0304001014,29
0304001015,54
0304001016,43
0304001017,53
0304001018,52
0304001019,32
0304001020,26
0304001021,29
0304001022,21
0304002000,0
0304002001,59
0304002002,133
0304002003,99
0304002004,0
0304002005,0
0304002006,22
0304002007,204
0304002008,68
0304002009,96
0304002010,95
0304002011,41
0304002012,18
0304002013,41
0304002014,149
0304002015,100
0304002016,30
0304002017,28
0304002018,127
0305001000,36
0305001001,60
0305001002,109
0305001003,113
0305001004,215
0305001005,58
0305001006,55
0305001007,0
0305001008,104
0305001009,157
0305001010,43
0305001011,156
0305001012,68
0305001013,26
0305002000,231
0305002001,9
0305002002,18
0305002003,0
0305002004,28
0305002005,118
0305002006,198
0305002007,74
0305002008,0
0305002009,9
0305002010,34
0305002011,250
0305002012,190
0305002013,242
0305002014,21
0305002015,0
0305002016,0
0305002017,194
0305002018,88
0305002019,149
0305002020,0
0305002021,80
0305003000,65
0305003001,16
0305003002,71
0305003003,81
0305003004,15
0305003005,62
0305003006,245
0305003007,7
0305003008,629
0305003009,5
0305003010,62
0305003011,92
0305003012,170
0305003013,61
0305003014,0
0305003015,0
0305003016,2
0305003017,63
0305003018,19
0305004000,64
0305004001,167
0305004002,17
0305004003,61
0305004004,161
0305004005,77
0305004006,55
0305004007,205
0305004008,77
0305004009,70
0305004010,90
0305004011,139
0305004012,41
0305004013,169
0305004014,204
0306011000,558
0306011001,639
0306012000,464
0306012001,78
0306012002,0
0306012003,0
0306012004,264
0306013001,216
0306013002,823
0306013003,717
0306013004,253
0306031000,268
0306031001,455
0306031002,188
0306031003,2
0306031004,0
0306032000,402
0306032001,257
0306032002,496
0306032003,0
0306032004,27
0306041000,106
0306041001,0
0306041002,827
0306041003,323
0306042001,895
0306042002,29
0306043000,545
0306043001,0
0306043002,0
0306043003,251
0307011000,468
0307011001,461
0307011002,221
0307011003,207
0307011004,148
0307011005,44
0307021000,978
0307022000,652
0307022001,0
0307031000,300
0307031001,3
0307031002,0
0307031003,0
0307031004,236
0307031005,208
0307031006,161
0307031007,0
0307032000,442
0307033000,317
0307033001,177
0307033002,0
0307033003,18
0307033004,119
0307033005,171
0307033006,227
0307033007,451
0307061001,0
0307061002,0
0307061003,0
0307061004,0
0307061005,12
0307061006,472
0307061007,570
0307061008,3
0307061009,403
0307061010,0
0307061011,752
0307061012,0
0307062000,277
0307062001,251
0307062002,510
0307062003,349
0308001000,0
0308001001,115
0308001002,94
0308001003,49
0308001004,93
0308001005,53
0308001006,75
0308001007,95
0308001008,63
0308001009,113
0308001010,6
0308001011,157
0308001012,34
0308001013,81
0308002000,199
0308002001,36
0308002002,46
0308002003,40
0308002004,42
0308002005,60
0308002006,47
0308002007,117
0308002008,60
0308002009,158
0308002010,94
0308002011,17
0308002012,109
0308002013,66
0308002014,107
0308002015,0
0308003000,21
0308003001,41
0308003002,41
0308003003,47
0308003004,49
0308003005,62
0308003006,41
0308003007,99
0308003008,69
0308003009,128
0308003010,28
0308003011,68
0308003012,125
0308003013,103
0308003014,18
0308003015,113
0308004000,0
0308004001,69
0308004002,60
0308004003,57
0308004004,25
0308004005,76
0308004006,70
0308004007,111
0308004008,69
0308004009,89
0308004010,0
0308004011,80
0308004012,101
0308004013,97
0308004014,32
0308004015,111
0309001000,0
0309001001,21
0309001002,35
0309001003,32
0309001004,77
0309001005,0
0309001006,45
0309001007,0
0309001008,33
0309001009,26
0309001010,50
0309001011,90
0309001012,62
0309001013,28
0309001014,18
0309001015,36
0309002000,94
0309002001,32
0309002002,58
0309002003,38
0309002004,48
0309002005,48
0309002006,53
0309002007,46
0309002008,33
0309002009,102
0309002010,30
0309002011,60
0309002012,39
0309002013,42
0309002014,28
0309002015,21
0309002016,60
0309002017,45
0309003000,9
0309003001,16
0309003002,54
0309003003,27
0309003004,77
0309003005,38
0309003006,53
0309003007,52
0309003008,28
0309003009,17
0309003010,82
0309003011,55
0309003012,55
0309003013,49
0309003014,58
0309003015,100
0309003016,13
0309003017,49
0309003018,17
0309003019,61
0309004000,20
0309004001,59
0309004002,80
0309004003,10
0309004004,73
0309004005,53
0309004006,73
0309004007,84
0309004008,53
0309004009,29
0309004010,0
0309004011,80
0309004012,0
0309004013,74
0310001000,139
0310001001,90
0310001002,111
0310001003,61
0310001004,74
0310001005,62
0310001006,47
0310001007,10
0310001008,166
0310001009,12
0310001010,120
0310001011,67
0310002000,24
0310002001,120
0310002002,33
0310002003,136
0310002004,125
0310002005,98
0310002006,0
0310002007,146
0310002008,0
0310002009,9
0310002010,2
0310002011,32
0310002012,225
0310002013,109
0310002014,0
0310002015,38
0310003000,0
0310003001,57
0310003002,104
0310003003,46
0310003004,40
0310003005,58
0310003006,75
0310003007,30
0310003008,170
0310003009,191
0310003010,241
0310003011,0
0310003012,13
0310003013,54
0310003014,289
0310003015,232
0311001000,0
0311001001,236
0311001002,227
0311001003,371
0311001004,275
0311001005,259
0311001006,217
0311001007,336
0311001008,33
0311001009,0
0311002000,280
0311002001,87
0311002002,294
0311002003,65
0311002004,0
0311002005,213
0311003000,76
0311003001,8
0311003002,51
0311003003,173
0311003004,212
0311003005,261
0311003006,216
0311003007,147
0311003008,324
0311003009,41
0312001000,263
0312001001,856
0312001002,142
0312001003,288
0312002000,328
0312002001,241
0312002002,216
0312002003,0
0312002004,11
0312002005,13
0312002006,0
0312002007,783
0312003000,101
0312003001,59
0312003002,0
0312003003,8
0312003004,2
0312003005,23
0312003006,0
0312003007,445
0312003008,157
0312003009,209
0312004000,88
0312004001,152
0312004002,314
0312004003,305
0312004004,279
0312004005,365
0313001001,0
0313001002,0
0313001003,0
0313001004,0
0313001005,0
0313001006,1
0313001007,723
0313001008,111
0313001009,599
0313002000,644
0313002001,236
0313002002,123
0313002003,84
0313002004,177
0313003000,593
0313003001,53
0313003002,10
0313004000,198
0313004001,225
0313004002,272
0313004003,228
0313004004,439
0313004005,389
0313004006,629
0313005000,0
0313005001,721
0313005002,366
0313005003,255
0314001000,138
0314001001,1194
0314002000,495
0314002001,140
0314002002,0
0314002003,0
0314002004,2
0314003000,0
0314003001,3
0314003002,0
0314003003,770
0314003004,300
0314004002,0
0314004003,0
0314004004,0
0314004005,0
0314004006,0
0314004007,1
0314004008,4
0314004009,0
0314004010,111
0314005000,1
0314005001,0
0314005002,349
0314005003,198
0314005004,174
0314005005,326
0314005006,43
0314006000,0
0314006001,0
0314006002,0
0314006003,2
0314006004,0
0314006005,899
0315011000,66
0315011001,14
0315011002,255
0315011003,188
0315011004,212
0315011005,191
0315012000,374
0315012001,50
0315012002,1003
0315012003,422
0315012004,137
0315013000,0
0315013001,51
0315013002,561
0315013003,251
0315013004,0
0315013005,83
0315013006,225
0315021000,37
0315021001,190
0315021002,195
0315021003,7
0315021004,71
0315021005,146
0315021006,130
0315021007,435
0315021008,100
0315021009,144
0315022000,361
0315022001,75
0315022002,30
0315022003,0
0315022004,188
0315022005,464
0315023000,1181
0315023001,600
0317001000,233
0317001001,135
0317001002,142
0317001003,372
0317001004,292
0317001005,205
0317001006,254
0317001007,130
0317001008,114
0317001009,130
0317002000,246
0317002001,108
0317002002,172
0317002003,235
0317002004,133
0317002005,157
0317002006,290
0317002007,155
0317002008,116
0317002009,67
0317003000,228
0317003001,247
0317003002,228
0317003003,220
0317003004,271
0317003005,167
0317003006,148
0317003007,79
0317003008,26
0317004000,171
0317004001,77
